,User_Age,Income,Child_Count,Day_Cnt,Recency,Marital_Status_Joined,Education_Graduate,Education_Postgraduate,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Spent,Purchases_Z1,Purchases_Z2,Purchases_Z3
0,57,58138.0,0,663.0,58,0,1,0,635,88,546,172,88,88,0,0,0,0,0,0,1,1617,-1.356722558143025,1.0658047779171618,0.12597657769239998
1,60,46344.0,2,113.0,38,0,1,0,11,1,6,2,1,6,0,0,0,0,0,0,0,27,1.3820116279818184,-0.8265009332293719,0.5483898802231771
2,49,71613.0,0,312.0,26,1,1,0,426,49,127,111,21,42,0,0,0,0,0,0,0,776,-1.4554120854156805,0.07602214308937358,-1.3699820105163767
3,30,26646.0,1,139.0,26,1,1,0,11,4,20,10,3,5,0,0,0,0,0,0,0,53,1.2586201974372695,-0.358916086237665,0.005120086133559624
4,33,58293.0,1,161.0,94,1,0,1,173,43,118,46,27,15,0,0,0,0,0,0,0,422,-0.26902972442836304,1.0956672213862897,0.7704772410120921
5,47,62513.0,1,293.0,16,1,0,1,520,42,98,0,42,14,0,0,0,0,0,0,0,716,-1.1459047979258483,0.47823606048009665,-0.6154297636735765
6,43,55635.0,1,593.0,34,0,1,0,235,65,164,50,49,27,0,0,0,0,0,0,0,590,-0.5723922533866793,1.304614961896084,-0.16243006623237213
7,29,33454.0,1,417.0,32,1,0,1,76,10,56,3,1,23,0,0,0,0,0,0,0,169,1.3234590262132289,0.3905105046139228,-0.6796483196442153
8,40,30351.0,1,388.0,19,1,0,1,14,0,24,3,3,2,0,0,0,0,0,0,1,46,1.997264009630931,-0.02674133921346102,-0.8449910442024372
9,31,7500.0,1,226.0,59,1,0,0,6,16,11,11,1,16,0,0,0,0,0,0,0,61,1.7923567593837644,-0.36408407725273795,-0.5426741184163854
10,55,59354.0,0,226.0,53,0,0,1,233,2,53,3,5,14,0,0,0,0,0,0,0,310,0.29408830094858357,0.7202733336212029,-0.44267824568438097
11,62,17323.0,2,226.0,38,1,1,0,3,14,17,6,1,5,0,0,0,0,0,0,0,46,1.9455914276499164,-0.5354467146452806,-0.3268865346238063
12,27,82800.0,0,627.0,23,0,0,1,1006,22,115,59,68,45,0,0,1,1,0,0,1,1315,-2.5894664786654196,-0.2964717847348967,-0.6247282138529666
13,68,41850.0,0,582.0,51,1,1,0,53,5,19,2,13,4,0,0,0,0,0,0,0,96,1.659240969559525,0.5562760595299228,-0.08912521528863869
14,34,37760.0,2,552.0,20,1,1,0,84,5,38,150,12,28,0,0,0,0,0,0,0,317,0.603664445054876,0.24377052456082812,-0.5124352177585297
15,65,33812.0,1,458.0,86,0,0,0,4,17,19,30,24,39,0,0,0,0,0,0,0,133,1.2419432065106102,-0.4144170804170598,0.16593840023144257
16,29,37040.0,1,603.0,41,1,1,0,86,2,73,69,38,48,0,0,0,0,0,0,0,316,0.7625820975613927,0.017121438719625726,-0.8128817662171174
17,35,58607.0,1,539.0,63,1,0,1,867,0,86,0,0,19,0,1,0,0,0,0,0,972,0.21005414231301422,0.5547454560778505,0.2485118168720718
18,65,65324.0,1,553.0,0,1,0,1,384,0,102,21,32,5,0,0,0,0,0,0,0,544,-0.9563360345822759,0.4449238103078905,-0.22900307890805724
