,ID,User_Age,Income,Child_Count,Day_Cnt,Recency,Marital_Status_Joined,Education_Graduate,Education_Postgraduate,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
0,5524,57,58138.0,0,663.0,58,0,1,0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1
1,2174,60,46344.0,2,113.0,38,0,1,0,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0
2,4141,49,71613.0,0,312.0,26,1,1,0,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0
3,6182,30,26646.0,1,139.0,26,1,1,0,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0
4,5324,33,58293.0,1,161.0,94,1,0,1,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0
5,7446,47,62513.0,1,293.0,16,1,0,1,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0
6,965,43,55635.0,1,593.0,34,0,1,0,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0
7,6177,29,33454.0,1,417.0,32,1,0,1,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0
8,4855,40,30351.0,1,388.0,19,1,0,1,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1
9,5899,64,5648.0,2,108.0,68,1,0,1,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0
10,387,31,7500.0,1,226.0,59,1,0,0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0
11,2125,38,63033.0,0,593.0,82,0,1,0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0
12,8180,55,59354.0,0,226.0,53,0,0,1,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0
13,2569,62,17323.0,2,226.0,38,1,1,0,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0
14,2114,27,82800.0,0,627.0,23,0,0,1,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1
15,9736,68,41850.0,0,582.0,51,1,1,0,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0
16,4939,34,37760.0,2,552.0,20,1,1,0,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0
17,6565,68,76995.0,0,667.0,91,1,0,1,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0
18,2278,65,33812.0,1,458.0,86,0,0,0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0
19,9360,29,37040.0,1,603.0,41,1,1,0,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0
20,5376,32,2447.0,0,690.0,42,1,1,0,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0
21,1993,35,58607.0,1,539.0,63,1,0,1,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0
